Experiment,Target,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2
audio,B_to_C,0.39032108,0.5993684,0.7777168208208031,0.37623942,0.5623029,0.692233085998669
both,B_to_C,0.34342298,0.58564365,0.7877802427330816,0.32128173,0.5372986,0.7189958169614725
video,B_to_C,0.5024023,0.7569733,0.6454479240966101,0.4775911,0.6922246,0.5335819119288093
audio,B_to_P1,0.21422835,0.37307754,0.8257014936732852,0.19946253,0.32778654,0.779983226414575
both,B_to_P1,0.23206282,0.3698088,0.8287423754983648,0.22190867,0.33281323,0.7731834360825951
video,B_to_P1,0.29359978,0.48999277,0.6993405601875151,0.28833488,0.53331554,0.41757230860287153
audio,C_to_B,0.32264653,0.5520386,0.7914809875892733,0.28883913,0.45862544,0.8103245268042126
both,C_to_B,0.32540637,0.59047985,0.7614294041367903,0.2828362,0.46954173,0.80118764216042
video,C_to_B,0.45009446,0.7497596,0.6153631159058985,0.41677403,0.62827116,0.6440498071267917
audio,P1_to_B,0.22815742,0.36108539,0.8390460984990574,0.22732821,0.35809577,0.7771943285270646
both,P1_to_B,0.20716497,0.35285887,0.8462964799539502,0.19384947,0.341479,0.797392336472221
video,P1_to_B,0.36437115,0.5052281,0.6848939727645565,0.3508055,0.5161796,0.5370547743032134
