Experiment,Target,MAE_Train,R²_Train,MAE_Test,R²_Test,Model
audio,B_to_C,0.2743012355830564,0.8534548420843542,0.2723086659490865,0.7629375422419532,models/audio_rf_flow_predictor_B_to_C.pkl
both,B_to_C,0.25895125067237024,0.8705895987682651,0.2681678036699548,0.761293351692163,models/both_rf_flow_predictor_B_to_C.pkl
video,B_to_C,0.39933318278672336,0.754493484276926,0.41428865270625587,0.5523618716979068,models/video_rf_flow_predictor_B_to_C.pkl
audio,B_to_P1,0.15408191084718362,0.9001451682952015,0.16808974664137613,0.775055661784331,models/audio_rf_flow_predictor_B_to_P1.pkl
both,B_to_P1,0.1469616034633243,0.9094974969541031,0.16331348393119602,0.7786099870947298,models/both_rf_flow_predictor_B_to_P1.pkl
video,B_to_P1,0.214800492999694,0.8316835655462492,0.23732686082853552,0.5347076414246351,models/video_rf_flow_predictor_B_to_P1.pkl
audio,C_to_B,0.247757431282435,0.8773477115251684,0.2537780992270982,0.8123334245755943,models/audio_rf_flow_predictor_C_to_B.pkl
both,C_to_B,0.23467120581050727,0.8912094595562801,0.24410348962560785,0.8225234537223214,models/both_rf_flow_predictor_C_to_B.pkl
video,C_to_B,0.3788238202639943,0.7404649386740901,0.392784253473504,0.6345011431028635,models/video_rf_flow_predictor_C_to_B.pkl
audio,P1_to_B,0.1437127280328129,0.915436330193842,0.17184220191131658,0.7863307719405035,models/audio_rf_flow_predictor_P1_to_B.pkl
both,P1_to_B,0.1359649365910599,0.9242980823155638,0.1623927991581308,0.7973032413971946,models/both_rf_flow_predictor_P1_to_B.pkl
video,P1_to_B,0.23918147599152995,0.8049589737613784,0.2615949871360227,0.5678664972903955,models/video_rf_flow_predictor_P1_to_B.pkl
